127.0.0.1 - - [10/Apr/2023:19:02:42 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [10/Apr/2023:19:02:44 +0530] "GET /jspdemo/todo-demo.jsp HTTP/1.1" 500 2131
0:0:0:0:0:0:0:1 - - [10/Apr/2023:19:02:44 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [10/Apr/2023:19:04:35 +0530] "GET /jspdemo/todo-demo.jsp HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [10/Apr/2023:19:04:40 +0530] "GET /jspdemo/todo-demo.jsp?theItem=rohan HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [10/Apr/2023:19:04:45 +0530] "GET /jspdemo/todo-demo.jsp?theItem=goraksh HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [10/Apr/2023:19:06:16 +0530] "GET /jspdemo/todo-demo.jsp?theItem=goraksh HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [10/Apr/2023:19:06:17 +0530] "GET /jspdemo/todo-demo.jsp?theItem=goraksh HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [10/Apr/2023:19:06:18 +0530] "GET /jspdemo/todo-demo.jsp?theItem=goraksh HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [10/Apr/2023:19:06:21 +0530] "GET /jspdemo/todo-demo.jsp?theItem=rohan HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [10/Apr/2023:19:53:40 +0530] "GET /jspdemo/todo-demo.jsp HTTP/1.1" 200 223
0:0:0:0:0:0:0:1 - - [10/Apr/2023:19:53:44 +0530] "GET /jspdemo/todo-demo.jsp?theItem=rohan HTTP/1.1" 200 239
0:0:0:0:0:0:0:1 - - [10/Apr/2023:19:53:48 +0530] "GET /jspdemo/todo-demo.jsp?theItem=goraksh HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [10/Apr/2023:19:53:53 +0530] "GET /jspdemo/todo-demo.jsp?theItem=nikhil HTTP/1.1" 200 274
0:0:0:0:0:0:0:1 - - [10/Apr/2023:20:08:03 +0530] "GET /jspdemo/todo-demo.jsp?theItem= HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [10/Apr/2023:20:08:04 +0530] "GET /jspdemo/todo-demo.jsp?theItem= HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [10/Apr/2023:20:08:04 +0530] "GET /jspdemo/todo-demo.jsp?theItem= HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [10/Apr/2023:20:08:04 +0530] "GET /jspdemo/todo-demo.jsp?theItem= HTTP/1.1" 200 318
0:0:0:0:0:0:0:1 - - [10/Apr/2023:20:08:05 +0530] "GET /jspdemo/todo-demo.jsp?theItem= HTTP/1.1" 200 329
0:0:0:0:0:0:0:1 - - [10/Apr/2023:20:08:05 +0530] "GET /jspdemo/todo-demo.jsp?theItem= HTTP/1.1" 200 340
0:0:0:0:0:0:0:1 - - [10/Apr/2023:20:08:05 +0530] "GET /jspdemo/todo-demo.jsp?theItem= HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [10/Apr/2023:20:08:05 +0530] "GET /jspdemo/todo-demo.jsp?theItem= HTTP/1.1" 200 362
0:0:0:0:0:0:0:1 - - [10/Apr/2023:20:08:06 +0530] "GET /jspdemo/todo-demo.jsp?theItem= HTTP/1.1" 200 373
0:0:0:0:0:0:0:1 - - [10/Apr/2023:20:08:06 +0530] "GET /jspdemo/todo-demo.jsp?theItem= HTTP/1.1" 200 384
0:0:0:0:0:0:0:1 - - [10/Apr/2023:20:08:07 +0530] "GET /jspdemo/todo-demo.jsp?theItem= HTTP/1.1" 200 395
0:0:0:0:0:0:0:1 - - [10/Apr/2023:20:26:41 +0530] "GET /jspdemo/todo-demo.jsp HTTP/1.1" 200 395
0:0:0:0:0:0:0:1 - - [10/Apr/2023:20:26:46 +0530] "GET /jspdemo/todo-demo.jsp HTTP/1.1" 200 395
0:0:0:0:0:0:0:1 - - [10/Apr/2023:20:26:47 +0530] "GET /jspdemo/todo-demo.jsp HTTP/1.1" 200 395
0:0:0:0:0:0:0:1 - - [10/Apr/2023:20:27:01 +0530] "GET /jspdemo/todo-demo.jsp HTTP/1.1" 200 395
0:0:0:0:0:0:0:1 - - [10/Apr/2023:20:27:07 +0530] "GET /jspdemo/todo-demo.jsp?theItem= HTTP/1.1" 200 395
0:0:0:0:0:0:0:1 - - [10/Apr/2023:20:27:08 +0530] "GET /jspdemo/todo-demo.jsp?theItem= HTTP/1.1" 200 395
0:0:0:0:0:0:0:1 - - [10/Apr/2023:20:27:09 +0530] "GET /jspdemo/todo-demo.jsp?theItem= HTTP/1.1" 200 395
0:0:0:0:0:0:0:1 - - [10/Apr/2023:20:27:09 +0530] "GET /jspdemo/todo-demo.jsp?theItem= HTTP/1.1" 200 395
0:0:0:0:0:0:0:1 - - [10/Apr/2023:20:27:09 +0530] "GET /jspdemo/todo-demo.jsp?theItem= HTTP/1.1" 200 395
0:0:0:0:0:0:0:1 - - [10/Apr/2023:20:27:13 +0530] "GET /jspdemo/todo-demo.jsp?theItem=mmm HTTP/1.1" 200 409
0:0:0:0:0:0:0:1 - - [10/Apr/2023:20:27:29 +0530] "GET /jspdemo/todo-demo.jsp HTTP/1.1" 200 409
0:0:0:0:0:0:0:1 - - [10/Apr/2023:20:27:31 +0530] "GET /jspdemo/todo-demo.jsp HTTP/1.1" 200 409
0:0:0:0:0:0:0:1 - - [10/Apr/2023:20:27:32 +0530] "GET /jspdemo/todo-demo.jsp HTTP/1.1" 200 409
